,p_value,sidak_cor_pval,holm-sidak_cor_pval,holm_cor_pval,simes-hochberg_cor_pval,hommel_cor_pval,fdr_bh_cor_pval,fdr_by_cor_pval,fdr_tsbh_cor_pval,fdr_tsbky_cor_pval,log2FC
Sdc1,0.006504691091843195,1.0,1.0,1.0,0.5,0.5,0.0147309271722789,0.15568324745713738,0.006489731083179937,0.006887184101279667,0.0127843126127
Gnao1,8.260530523228452e-06,0.16503140731172217,0.13898222354934553,0.1496395104282834,0.14963055969379732,0.10433050050837535,4.833788800822555e-05,0.0005108571437717438,2.1295325856513764e-05,2.2599523430281545e-05,0.0326952922952
Il10,0.0027329406386553444,1.0,0.9999999999999999,1.0,0.5,0.5,0.00702832157411621,0.07427855110780496,0.003096337144885217,0.003285967274010062,0.031445443554
Dao,1.1583761387183691e-08,0.00025288786622490456,0.00023692935226593548,0.0002369574229362296,0.0002369574229362296,0.00021758937389685845,1.8302647062894483e-07,1.934308342230736e-06,8.063257401208301e-08,8.557078477728917e-08,0.051450224498
Rarg,0.01684926195907342,1.0,1.0,1.0,0.5,0.5,0.03272868308916941,0.3458918511189092,0.01441866825294131,0.015301716123593948,-0.0112965436553
Krt19,1.6096042647945942e-05,0.2963286214309069,0.2483358123917906,0.2854633163613213,0.2854472203186733,0.18196576213502888,8.565230993060725e-05,0.0009052132025535811,3.77342479262852e-05,4.004522052773802e-05,0.0333488965172
Cr2,0.00016352752922286582,0.971865312663717,0.9284897682472928,1.0,0.5,0.5,0.0006246417333271313,0.006601502566968351,0.0002751868110686854,0.0002920401794438348,0.0307398756845
Ar,0.2468136588713199,1.0,1.0,1.0,0.5,0.5,0.29531616767845237,1.0,0.13010196101946658,0.138069843880114,-0.0143928296976
Fasn,0.13582472663644052,1.0,1.0,1.0,0.5,0.5,0.18401570373417983,1.0,0.08106838207470349,0.0860332831954237,-0.0257280491424
Tnnc1,0.4522724305900031,1.0,1.0,1.0,0.5,0.5,0.4663705187631983,1.0,0.20546020060379247,0.21804327620163985,3.25818720768e-05
Lama1,1.0577303929902874e-06,0.02282986083578087,0.020007210802470254,0.020210054618865422,0.02020899688847243,0.016286932591264444,8.431808281308073e-06,8.911124736535842e-05,3.71464522569856e-06,3.942142626931434e-06,-0.0280799786595
Gstp1,5.432849318717933e-08,0.0011855050846052428,0.0010908097625486057,0.0010914050996372457,0.0010913507711440584,0.0009705242022957716,6.787339796494361e-07,7.1731744292497134e-06,2.9901722772959266e-07,3.173300511889443e-07,0.0417225159745
Ifrd1,0.014133487855963899,1.0,1.0,1.0,0.5,0.5,0.028308464713981813,0.2991769401651775,0.012471334711174823,0.013235121308362999,0.0100680546447
F2,0.000345780338722471,0.999474454347645,0.9952787435761116,1.0,0.5,0.5,0.0011860434698010918,0.012534655615665498,0.0005225131508663874,0.0005545136183968364,0.00671660576411
Csn1s1,0.09866371179685246,1.0,1.0,1.0,0.5,0.5,0.14215096323170776,1.0,0.06262481063139126,0.06646016523612695,-0.0084730931518
Nefh,0.07227029785967917,1.0,1.0,1.0,0.5,0.5,0.11024595201654806,1.0,0.048569012203314825,0.05154354230924816,0.0109641896056
Rpl13a,0.0002056655431356889,0.9887901598642489,0.9623052536367254,1.0,0.5,0.5,0.0007610372577513913,0.008042993515409654,0.0003352760548827807,0.0003558094911995959,0.016389751288
Serpinh1,0.00015448766356443804,0.9657251771832929,0.9180294966687357,1.0,0.5,0.5,0.0005962666346107114,0.006301621407865064,0.0002626861206522137,0.00027877390458778067,-0.0259109774984
Rdbp,0.494019936875091,1.0,1.0,1.0,0.5,0.5,0.496133248367398,1.0,0.2185722137971055,0.23195831330307026,0.000823944471888
Ms4a1,0.001651099632664729,0.9999999999999998,0.9999999999008623,1.0,0.5,0.5,0.004559508174657771,0.04818698993868375,0.0020086978626011314,0.002131717294024182,0.0384164439952
Muc13,0.00994233914191654,1.0,1.0,1.0,0.5,0.5,0.021086500364977237,0.2228518827045366,0.009289687964217095,0.009858619784543561,0.0180086505992
Trap1a,0.0012511826800427372,0.9999999999986561,0.9999999819884268,1.0,0.5,0.5,0.003593551747465474,0.037978315920500674,0.001583144373860511,0.001680101474457374,0.0274124568836
