sidak_cor_pval,holm-sidak_cor_pval,holm_cor_pval,simes-hochberg_cor_pval,hommel_cor_pval,fdr_bh_cor_pval,fdr_by_cor_pval,fdr_tsbh_cor_pval,fdr_tsbky_cor_pval
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
1.0,1.0,1.0,0.5,0.5,0.1295135029585069,1.0,0.0570573593916771,0.06055174450630824
0.0007200012796045874,0.000666993316861153,0.0006672158438402326,0.0006672158438402326,0.0005997553276406244,4.4764486763855683e-07,4.730917876821575e-06,1.9721058815678659e-07,2.0928842966662786e-07
1.0,1.0,1.0,0.5,0.5,0.34066348524565637,1.0,0.15007978678107395,0.15927117906641866
1.0,1.0,1.0,0.5,0.5,0.031112215486760037,0.3288082743141906,0.013706531133422406,0.014545965325199008
0.8886297303455432,0.810489512363271,1.0,0.5,0.4998157102011782,0.00041398946742327345,0.004375232050755924,0.000182383653345446,0.00019355344336372253
1.0,1.0,1.0,0.5,0.5,0.11285336452128593,1.0,0.049717711520117676,0.05276259184619121
1.0,1.0,1.0,0.5,0.5,0.28788742216083,1.0,0.12682921653224438,0.1345966654831899
0.0022712114132362737,0.0020696181497367183,0.0020717626616599543,0.002071658521584471,0.0018171401771038774,1.1680692948358994e-06,1.2344696226401134e-05,5.145946023187009e-07,5.461101112308485e-07
1.0,0.9999999999988014,1.0,0.5,0.5,0.00537078272864466,0.05676091442197752,0.002366106030357836,0.002511014343330473
1.0,1.0,1.0,0.5,0.5,0.28788742216083,1.0,0.12682921653224438,0.1345966654831899
0.19820591513958163,0.1665099829113107,0.1821326326051268,0.18211239789424966,0.12376560908001978,5.7577461754927664e-05,0.0006085052299501352,2.5365833315959018e-05,2.6919322494296835e-05
1.747263123075271e-08,1.734939292230564e-08,1.7348259658381558e-08,1.734745946190285e-08,1.7092196785195113e-08,1.1131918597717803e-10,1.1764726126557204e-09,4.904182696319848e-11,5.2045313839591055e-11
0.24121934699264813,0.202152692818532,0.22583661662091156,0.22582397391718761,0.1490827623128136,6.947918276081435e-05,0.0007342881188922586,3.0609153566743304e-05,3.248376136029445e-05
1.0,1.0,1.0,0.5,0.5,0.37790617421683587,1.0,0.16648710679636092,0.17668333869299632
0.004293515100685208,0.0038741029631421675,0.00388162635623067,0.00388162635623067,0.0033389041657925695,2.0103731869019666e-06,2.124655309725721e-05,8.856727894481092e-07,9.39914377998258e-07
0.9921146556901796,0.9704799099279886,1.0,0.5,0.5,0.0008132018700945638,0.008594293250786148,0.0003582572496308331,0.0003801981318179132
1.0,1.0,1.0,0.5,0.5,0.02860855781615218,0.302348462781438,0.012603541157532648,0.013375424523360954
1.0,1.0,1.0,0.5,0.5,0.06454866719483111,0.6821801513506957,0.02843700786603831,0.03017858613133441
1.0,1.0,1.0,0.5,0.5,0.055707596348422705,0.588743628023254,0.0245420614305889,0.026045100040502603
1.0,1.0,1.0,0.5,0.5,0.14727868392773433,1.0,0.06488383533483909,0.06885754023095653
1.0,1.0,1.0,0.5,0.5,0.33603933840679784,1.0,0.1480426122622968,0.15710924110975694
1.0,1.0,1.0,0.5,0.5,0.09686968920436528,1.0,0.042676080445946216,0.04528970753719343
1.0,1.0,1.0,0.5,0.5,0.3684252236201832,1.0,0.1623102604196456,0.17225068815779027
0.9877925083244703,0.9600785808341988,1.0,0.5,0.5,0.0007489384666047224,0.007915127898127693,0.00032994591509896606,0.00035015291567956706
1.0,1.0,1.0,0.5,0.5,0.01819318171198398,0.19227395379630371,0.00801503228394128,0.008505899891641645
1.0,1.0,1.0,0.5,0.5,0.32504692635524796,1.0,0.14319988937488,0.15196993354067082
1.0,1.0,1.0,0.5,0.5,0.10182475580357085,1.0,0.04485904213953229,0.04760636116691544
0.08291824542192405,0.07061535025644994,0.07323243363319497,0.07321831338734121,0.0547006490940784,2.5703654831348638e-05,0.0002716481052999894,1.1323781983271163e-05,1.2017288581290192e-05
1.0,1.0,1.0,0.5,0.5,0.2865139098803899,1.0,0.12622411372810619,0.13395450414262197
1.0,1.0,1.0,0.5,0.5,0.019043002588968287,0.2012552536383639,0.008389422089552347,0.008903218591574936
1.0,1.0,1.0,0.5,0.5,0.02772073492829376,0.2929655401227287,0.012212409511553435,0.012960338656293651
0.00023883982003192195,0.0002239208387402325,0.00022394591184100225,0.00022391309123838757,0.00020577423819332738,1.7442761130307204e-07,1.8434316222101408e-06,7.684433420922643e-08,8.155054039309745e-08
1.0,1.0,1.0,0.5,0.5,0.3515835048112377,1.0,0.15489061705501947,0.16437664081082695
1.0,1.0,1.0,0.5,0.5,0.09934947051979487,1.0,0.04376855165933438,0.046449085372039844
0.6155105257988436,0.5269490603012911,0.7485358167166621,0.5,0.3848914112972539,0.0002013888585826117,0.0021283705458016214,8.872215034836228e-05,9.415579405043322e-05
7.137935813528173e-07,6.99245718660535e-07,6.992469463907951e-07,6.99214254495597e-07,6.795664254815773e-07,1.5946106275585765e-09,1.6852582191510326e-08,7.025079979154505e-10,7.455319569103557e-10
1.0,1.0,1.0,0.5,0.5,0.3715515951024575,1.0,0.16368758785795268,0.17371236777344493
1.0,1.0,1.0,0.5,0.5,0.12750870889070604,1.0,0.056174144491146896,0.05961443854663443
1.8000018083830227e-06,1.753670392679041e-06,1.7536718258556786e-06,1.7536718258556786e-06,1.6968704020114438e-06,3.1971639805804547e-09,3.378910677709577e-08,1.4085151749200051e-09,1.4947773944381853e-09
7.179788239719542e-06,6.934806848657438e-06,6.934830092613407e-06,6.934830092613407e-06,6.6415080554086485e-06,9.613906573698945e-09,1.0160420852256692e-07,4.235420323001289e-09,4.494811747502802e-09
0.2504245702875998,0.20982994267021493,0.23550553969028537,0.23549233796711197,0.15455257319099563,7.204035324926772e-05,0.0007613557524682462,3.173748089698206e-05,3.3681191261511855e-05
1.0,1.0,1.0,0.5,0.5,0.07638602930041814,0.8072828656857332,0.03365197471103427,0.03571293513335158
1.0,1.0,1.0,0.5,0.5,0.09370797701027808,0.990349215835676,0.04128318360638751,0.04381150499764677
1.0,1.0,1.0,0.5,0.5,0.19575618716393592,1.0,0.08624066888018227,0.09152233828836559
0.7352007414724326,0.6423728304635756,1.0,0.5,0.4644804329237842,0.00026842975368938476,0.002836889713712292,0.00011825711279372502,0.00012549957720237284
1.0,1.0,1.0,0.5,0.5,0.017979911930649475,0.19002002016712174,0.007921075976042746,0.008406189382580512
1.0,1.0,1.0,0.5,0.5,0.33299299726214004,1.0,0.1467005423039537,0.15568497826104477
0.006183986543813358,0.005548213804768998,0.005563661521033258,0.005563661521033258,0.004732081207901238,2.754522959347152e-06,2.9111071862021006e-05,1.2135090384702874e-06,1.287828424535663e-06
1.0,1.0,1.0,0.5,0.5,0.11732631729674674,1.0,0.051688277277521615,0.0548538416962957
0.7060853320245315,0.613391754062677,0.9503167355995401,0.5,0.4449551845860858,0.00025005897085626924,0.0026427387891750148,0.00011016383808127022,0.00011691064305202354
1.0,1.0,1.0,0.5,0.5,0.4723342805060554,1.0,0.2080875443889231,0.22083152738086767
1.0,1.0,1.0,0.5,0.5,0.05724305200296513,0.6049710331166299,0.025218508620340828,0.026762975137467636
1.0,1.0,1.0,0.5,0.5,0.23171440851450423,1.0,0.1020821148438681,0.10833396782801642
0.00018404003822702908,0.0001731337822719059,0.0001731487704877694,0.00017314034065473688,0.00015955987963936217,1.4148202270276687e-07,1.4952474133889607e-06,6.233010792241067e-08,6.614741393936587e-08
1.0,1.0,1.0,0.5,0.5,0.04467852141253176,0.4721832661134616,0.01968318665691779,0.02088865138917585
